COUNTRY,CURRENCY CODE,AVERAGE ANNUAL SALARY (WOMEN) USD,AVERAGE ANNUAL SALARY (MEN) USD,No
Algeria,DZD,4624.398,25318.666,1
Angola,AOA,4789.353,8276.878,2
Benin,CFA,2108.412,2228.347,3
Botswana,BWP,15557.785,17939.661,4
Burkina Faso,CFA,1365.297,2077.286,5
Burundi,BIF,882.494,669.985,5
Cameroon,XAF,2621.706,3948.747,5
Cape Verde,CVE,4340.452,8782.46,5
Chad,XAF,1513.618,2467.899,5
C̫te d'Ivoire,XOF,2391.907,5010.426,5
Egypt,EGP,4910.833,17214.88,5
Ethiopia,ETB,1307.594,2163.481,5
Gambia,GMD,998.101,2393.992,5
Ghana,GHS,3626.066,4966.494,5
Guinea,GNF,1082.798,1537.424,5
Kenya,KES,2479.949,3840.085,5
Lesotho,LSL,2258.191,3847.386,5
Liberia,LRD,805.527,820.119,5
Madagascar,MGA,1201.754,1811.946,5
Malawi,MWK,1004.942,1336.81,5
Mali,XOF,1156.273,3077.196,5
Mauritania,MRO,1945.828,5732.377,5
Mauritius,MUR,13547.361,28780.728,5
Morocco,MAD,3295.069,12471.11,5
Mozambique,MZN,1121.935,1316.949,5
Namibia,NAD,9914.945,11292.877,5
Nigeria,NGN,4612.436,7089.04,5
Rwanda,RWF,1771.819,2060.582,5
Senegal,XOF,1731.014,3435.031,5
South Africa,ZAR,9937.675,16634.805,5
Swaziland,SZL,5295.904,11585.494,5
Tanzania,TZS,2336.772,3246.827,5
Tunisia ,TND,4964.411,18393.456,5
Uganda,UGX,1385.643,2316.883,5
Zimbabwe,ZWL,1616.623,2417.236,5
,AVERAGE,3557.282464,7042.958979,5
